line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	moray.txt	Kingston on Spey	resolved	57.6746059	-3.1117755	village	Kingston on Spey / Kingston, Moray at west side of River Spey mouth (Wikipedia/OS-style coords)
2	moray.txt	Garmouth	resolved	57.6638900	-3.1100000	village	Village on west bank of Spey at river mouth (Wikipedia coord)
3	moray.txt	Spey Bay	resolved	57.6684200	-3.0845580	settlement	Spey Bay settlement east of Spey mouth (GeoHack/Wikipedia area)
4	moray.txt	Tugnet	resolved	57.6736100	-3.0936100	historic_fishery	Tugnet fishing station / ice house group, Spey Bay (Wikipedia listed building coord)
5	moray.txt	Mill of Tugnet	resolved	57.6738000	-3.0932000	hamlet	Mill locality adjoining Tugnet complex; pinned adjacent to Tugnet cluster (approximate)
6	moray.txt	Mosstodloch	resolved	57.6295300	-3.1152200	village	Mosstodloch on west bank of Spey between Fochabers and Elgin (Wikipedia)
7	moray.txt	River Spey mouth	resolved	57.6715000	-3.0980000	estuary	Representative point at main river mouth / shingle bar between Kingston and Spey Bay (broad feature)
8	moray.txt	Lossiemouth	resolved	57.7214000	-3.2834000	town	Town centroid on Moray Firth (common databases)
9	moray.txt	Lossiemouth East Beach	resolved	57.7175000	-3.2758330	beach	Mid-beach per visitor guides (OS grid NJ240704 area)
10	moray.txt	Lossiemouth West Beach	resolved	57.7208970	-3.3023280	beach	Access/car-park area St Gerardine's side (SOBT grid NJ225709)
11	moray.txt	Lossie	resolved	57.7214000	-3.2834000	town	Local short name for Lossiemouth; same town centroid as line 8 (separate row per pass-1 rules)
12	moray.txt	Covesea	resolved	57.7195000	-3.3520000	coastal_locality	Covesea strip west of Lossiemouth toward lighthouse / links (approximate centroid)
13	moray.txt	Covesea Skerries	resolved	57.7241400	-3.3385000	skerries	Offshore skerries / lighthouse islet (Canmore lighthouse centre)
14	moray.txt	Covesea Lighthouse	resolved	57.7241400	-3.3385000	lighthouse	Covesea Skerries lighthouse (Canmore NRHE)
15	moray.txt	Stotfield	resolved	57.7175675	-3.3025801	suburb	Historic fishing quarter NW of town centre (Streetmap cluster)
16	moray.txt	Pitgaveny	resolved	57.7205500	-3.2809300	quay_area	Pitgaveny Street / old harbour quarter by marina (Canmore Salmon Bothy)
17	moray.txt	Clifton	resolved	57.7173400	-3.2874800	seatown	Clifton Road Seatown frontage (Canmore general view)
18	moray.txt	Greenbanks	not_found				No matching named place found on Moray coast in gazetteers; possibly informal/local label
19	moray.txt	Lossiemouth Marina	resolved	57.7225000	-3.2794400	marina	Lossiemouth harbour/marina waypoint (pilotage / port listings)
20	moray.txt	Spynie	resolved	57.7171100	-3.2824700	canal	Spynie Canal at Seatown Bridge immediately above confluence with River Lossie (Canmore)
21	moray.txt	Moray Golf Club	resolved	57.7190000	-3.3160000	golf_club	Moray GC Stotfield Road links (Wikipedia/GeoHack)
22	moray.txt	Innes Links	resolved	57.6950700	-3.2073200	coastal_strip	Innes Links coastal battery / dune strip SE of Lossiemouth (Canmore emergency coast battery)
23	moray.txt	Hopeman	resolved	57.7069400	-3.4344400	village	Seaside village centroid (Wikipedia)
24	moray.txt	Hopeman East Beach	resolved	57.7111300	-3.4248750	beach	East beach / huts area (Geograph/Wikimedia subject location)
25	moray.txt	Hopeman West Beach	resolved	57.7111030	-3.4272240	beach	West beach west of harbour (Wikimedia object location)
26	moray.txt	Hopeman Harbour	resolved	57.7111200	-3.4366900	harbour	Hopeman harbour basin (Canmore)
27	moray.txt	Morrison's Haven	not_found				The well-known Morrison's Haven is a former harbour at Prestongrange, East Lothian (Firth of Forth), not on the Moray coast; no separate Moray coastal feature verified
28	moray.txt	Burghead	resolved	57.7017580	-3.4915900	village	Burghead on Burg Head promontory (visitor/walk guides)
