line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	kilkenny.txt	Inistioge	resolved	52.483	-7.067	village	Wikipedia / OS-style centroid; River Nore at Inistioge.
2	kilkenny.txt	Inistioge Bridge	resolved	52.4836	-7.0672	bridge	Main road bridge over the Nore in the village (approximate).
3	kilkenny.txt	Inistioge Quay	resolved	52.4832	-7.0668	harbour	Riverside quay/landing in village centre (approximate).
4	kilkenny.txt	Inistioge River Nore	resolved	52.483	-7.067	river	Nore channel at Inistioge.
5	kilkenny.txt	River Nore Inistioge	resolved	52.4829	-7.0671	river	Same reach as line 4; wording variant.
6	kilkenny.txt	Inistioge waterfront	resolved	52.4831	-7.0666	shore	Riverside frontage in village.
7	kilkenny.txt	Inistioge weir	resolved	52.484	-7.068	weir	Weir on the Nore at Inistioge (approximate; several weirs in reach).
8	kilkenny.txt	Inistioge shore	resolved	52.4828	-7.0668	shore	River bank at Inistioge.
9	kilkenny.txt	Nore Valley Inistioge	resolved	52.476	-7.058	valley	Nore valley viewpoint/walk context near Woodstock (approximate).
10	kilkenny.txt	Woodstock River Walk Inistioge	resolved	52.476	-7.059	path	Woodland/riverside walks in Woodstock Gardens estate.
11	kilkenny.txt	Woodstock Gardens Nore view	resolved	52.47592	-7.059032	attraction	Woodstock House & Gardens; Wikipedia coord.
12	kilkenny.txt	Jerpoint Abbey	resolved	52.51093	-7.15798	attraction	Cistercian abbey ruins SW of Thomastown; GeoHack/Wikipedia.
13	kilkenny.txt	Jerpoint Abbey River Nore	resolved	52.51093	-7.15798	river	Abbey sits beside the Nore; same monument pin.
14	kilkenny.txt	Nore tidal limit Inistioge	resolved	52.483	-7.067	river	Guidebooks cite Inistioge as head of tidal Nore; village reach.
15	kilkenny.txt	Lower River Nore Kilkenny	resolved	52.417	-6.95	river	Lower Nore toward Barrow confluence; Wikipedia mouth approx.
16	kilkenny.txt	River Nore tidal Kilkenny	ambiguous			river	Long tidal section Inistioge→confluence; not one authoritative pin.
17	kilkenny.txt	Nore estuary Kilkenny	resolved	52.417	-6.95	estuary	Nore–Barrow mixing / Three Sisters system near New Ross (approximate).
18	kilkenny.txt	Rosbercon	resolved	52.395611	-6.945076	village	GeoHack village centroid; W bank Barrow opposite New Ross.
19	kilkenny.txt	Rosbercon shore	resolved	52.3952	-6.9445	shore	Riverside frontage (approximate).
20	kilkenny.txt	Rosbercon River Barrow	resolved	52.396	-6.9442	river	Barrow at Rosbercon (approximate).
21	kilkenny.txt	Rosbercon River Nore	resolved	52.393	-6.948	river	Parish lies between Nore and Barrow; Nore-side reach (approximate).
22	kilkenny.txt	Rosbercon waterfront	resolved	52.3957	-6.945	waterfront	Main street river frontage (approximate).
23	kilkenny.txt	Rosbercon Barrow bank	resolved	52.3962	-6.9438	bank	West bank of Barrow (approximate).
24	kilkenny.txt	Rosbercon ferry approach	resolved	52.3965	-6.941	ferry	Barrow crossing zone toward New Ross; historic ferry/bridge approach (approximate).
25	kilkenny.txt	Rosbercon Dominican Abbey	resolved	52.397508	-6.950332	attraction	Suppressed Dominican house; GeoHack coord (ruins not extant).
26	kilkenny.txt	Rosbercon Castle site	resolved	52.395	-6.945	castle	Approximate; medieval castle gone; Wikipedia cites later development on site.
27	kilkenny.txt	Annfield Rosbercon	resolved	52.398	-6.948	townland	Annfield townland by Rosbercon (approximate centroid).
28	kilkenny.txt	Garranbehy	resolved	52.402	-6.955	townland	Garranbehy townlands in Rosbercon parish (approximate).
29	kilkenny.txt	Millbanks Rosbercon	resolved	52.398	-6.944	townland	Millbanks townland near village (approximate).
30	kilkenny.txt	Raheen Rosbercon	resolved	52.392	-6.948	townland	Raheen townland near Rosbercon (approximate).
31	kilkenny.txt	Shanbogh	resolved	52.3852	-6.9878	civil_parish	Logainm.ie centrepoint; Shanbogh civil parish (Ida barony).
32	kilkenny.txt	Ballyneale	resolved	52.4256	-7.0272	townland	Townlands.ie centroid; Dysartmoon ED, Ida.
33	kilkenny.txt	Tullogher Barrow bank	resolved	52.428	-7.059	bank	Tullagher/Tullogher townland centroid adjusted toward River Barrow (approximate).
34	kilkenny.txt	Nore Barrow confluence Kilkenny bank	resolved	52.417	-6.950	river	Wikipedia River Nore mouth / Barrow junction N of New Ross; Kilkenny-side reach (approximate).
35	kilkenny.txt	Glenmore	resolved	52.3541	-7.0266	village	Wikipedia Glenmore village centroid.
36	kilkenny.txt	Glenmore River Barrow	resolved	52.3559	-6.99562	river	Pink Point / Barrow at Glenmore (Logainm.ie); tidal reach.
37	kilkenny.txt	Glenmore Barrow bank	resolved	52.3562	-6.9958	bank	West bank Barrow at Pink Rock / bridge vicinity (approximate).
38	kilkenny.txt	Glenmore shore	resolved	52.356	-6.9962	shore	Riverside frontage Barrow at Glenmore/Pink Rock (approximate).
39	kilkenny.txt	Pink Rock Glenmore	resolved	52.3559	-6.99562	headland	Logainm.ie “The Pink Point”; Kilkenny bank Barrow.
40	kilkenny.txt	Butterbridge Glenmore	resolved	52.381	-6.988	bridge	Historic mail-coach crossing zone between Shanbogh and Rosbercon (approximate; not a single named POI).
41	kilkenny.txt	Rose Fitzgerald Kennedy Bridge approach	resolved	52.356639	-6.993472	bridge	GeoHack / bridge list: N25 Barrow crossing Kilkenny side (approach pin).
42	kilkenny.txt	Ballygurrim Glenmore	resolved	52.3694	-7.0153	civil_parish	Logainm.ie Ballygurrim civil parish centrepoint (Glenmore locality context).
43	kilkenny.txt	Cappagh Glenmore	resolved	52.3525	-7.0235	townland	Cappagh townland in Glenmore parish; village-edge centroid (approximate).
44	kilkenny.txt	Mile Post Slieverue	resolved	52.276	-7.072	landmark	Historic “Mile Post” on old Waterford–Slieverue road / N25 corridor (approximate).
45	kilkenny.txt	Slieverue	resolved	52.28335	-7.068086	village	Wikipedia / GeoHack village centroid.
