line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	pembrokeshire.txt	Amroth	resolved	51.7379	-4.6908	village	Coastal village at east end of Amroth Bay (Carmarthen Bay).
2	pembrokeshire.txt	Amroth Castle	resolved	51.7381	-4.6842	attraction	Ruined castle at west end of Amroth Bay; coastal visitor pin.
3	pembrokeshire.txt	Wiseman's Bridge	resolved	51.7398	-4.6988	cove	Small cove/hamlet between Saundersfoot and Amroth on the coast path.
4	pembrokeshire.txt	Saundersfoot	resolved	51.7231	-4.6993	village	Main village centre on north shore of Saundersfoot Bay.
5	pembrokeshire.txt	Saundersfoot Harbour	resolved	51.7238	-4.7025	harbour	Working harbour at inner north side of Saundersfoot Bay.
6	pembrokeshire.txt	Coppet Hall	resolved	51.7318	-4.6945	beach	Sandy beach on coast path between Saundersfoot and Wiseman’s Bridge.
7	pembrokeshire.txt	Telpyn Point	resolved	51.735	-4.629	headland	Headland west of Amroth; Wales Coast Path (OS/Wikipedia coords).
8	pembrokeshire.txt	Monkstone Point	resolved	51.6975	-4.6812	headland	Clifftop point above Monkstone Beach (Geograph/WCP context).
9	pembrokeshire.txt	Monkstone Beach	resolved	51.6973	-4.6804	beach	Secluded beach between Saundersfoot and Tenby (visitor-map pin).
10	pembrokeshire.txt	Tenby	resolved	51.6728	-4.7036	town	Harbour town centre on north shore of Tenby’s bays.
11	pembrokeshire.txt	Tenby North Beach	resolved	51.6756	-4.7039	beach	North of Castle Hill; main northern town beach.
12	pembrokeshire.txt	Tenby Castle Beach	resolved	51.6721	-4.7007	beach	Sandy beach below Castle Hill and harbour approaches.
13	pembrokeshire.txt	Tenby South Beach	resolved	51.6694	-4.6995	beach	South-facing beach toward St Catherine’s Island.
14	pembrokeshire.txt	Tenby Harbour	resolved	51.6719	-4.7021	harbour	Tenby’s main tidal harbour by the town core.
15	pembrokeshire.txt	Penally	resolved	51.6623	-4.7186	village	Inland edge of village toward coast path to Tenby.
16	pembrokeshire.txt	Caldey Island	resolved	51.6303	-4.6865	island	Tidal island off Tenby; pin near priory/landing area.
17	pembrokeshire.txt	Giltar Point	resolved	51.6549	-4.6964	headland	Headland east of Tenby toward Penally/Manorbier.
18	pembrokeshire.txt	St Margaret's Island	resolved	51.6431	-4.71693	island	Tidal island NW of Caldey in Carmarthen Bay (Wikipedia coords).
19	pembrokeshire.txt	Manorbier	resolved	51.6467	-4.7998	village	Village by Manorbier Bay and castle.
20	pembrokeshire.txt	Jameston	resolved	51.6419	-4.8055	hamlet	Hamlet south-west of Manorbier near coast path.
21	pembrokeshire.txt	Manorbier Bay	resolved	51.6455	-4.7945	bay	Sandy bay below Manorbier Castle and village.
22	pembrokeshire.txt	Freshwater East	resolved	51.6477	-4.861	village	Bay and settlement east of Manorbier (visitor beach pin).
23	pembrokeshire.txt	Swanlake Bay	resolved	51.6378	-4.825	small bay	Quiet bay west of Freshwater East on south coast.
24	pembrokeshire.txt	Lydstep	resolved	51.6212	-4.7715	village	Coastal village north of Lydstep Haven cliffs.
25	pembrokeshire.txt	Lydstep Beach	resolved	51.6195	-4.7735	beach	Beach/foreshore at Lydstep Haven (tidal access).
26	pembrokeshire.txt	Skrinkle Haven	resolved	51.6047	-4.7633	beach	Eastern of the Skrinkle/Church Doors pair near YHA (coast-path pin).
27	pembrokeshire.txt	Church Doors Cove	resolved	51.6031	-4.767	cove	Famous rock-arch cove adjacent west of Skrinkle Haven (OS grid SS079974 area).
28	pembrokeshire.txt	Greenala Point	resolved	51.63272	-4.88264	headland	Promontory fort/headland south of Stackpole (Wikipedia coords).
29	pembrokeshire.txt	Broad Haven South	resolved	51.6175	-4.9148	beach	National Trust beach at Stackpole/Bosherston south coast.
30	pembrokeshire.txt	Bosherston	resolved	51.6069	-4.9265	village	Village by Bosherston ponds and Broad Haven South access.
31	pembrokeshire.txt	Bosherston Lily Ponds	resolved	51.6147	-4.9283	lakes	NT Stackpole Estate lily ponds / Bosherston Lakes system (visitor centre of ponds).
32	pembrokeshire.txt	Stackpole	resolved	51.6272	-4.9035	village	Small village on the Stackpole estate near Bosherston (coastal-walking hub).
33	pembrokeshire.txt	Stackpole Quay	resolved	51.6225	-4.8979	harbour	Small NT harbour inlet on the Stackpole estate (limestone quay).
34	pembrokeshire.txt	Stackpole Elidor	resolved	51.6384	-4.9101	hamlet	Hamlet of Cheriton / Stackpole Elidor; pin at St James & St Elidyr's church.
35	pembrokeshire.txt	St Petrox	resolved	51.6401	-4.9341	church	St Petrox church beside the B4319 (parish church, scattered settlement).
36	pembrokeshire.txt	Barafundle Bay	resolved	51.6111	-4.9172	beach	Sheltered NT beach on the Stackpole estate (south of Stackpole Quay).
37	pembrokeshire.txt	Stack Rocks	resolved	51.6104	-4.9985	headland	Elegug Stacks / Stack Rocks beside the Green Bridge of Wales (Castlemartin range coast).
38	pembrokeshire.txt	Freshwater West	resolved	51.6577	-5.06	beach	Major west-facing surf beach and dunes west of Castlemartin (Pembrokeshire Coast Path).
39	pembrokeshire.txt	Castlemartin	resolved	51.65	-5.01	village	Castlemartin village on the B4319 sandstone ridge inland of the range coast.
40	pembrokeshire.txt	Merrion	resolved	51.613	-5.008	hamlet	Merrion crossroads / range access area south of Castlemartin (coastal visitor approach).
41	pembrokeshire.txt	St Govans Head	resolved	51.5998	-4.9385	headland	Southerly limestone headland west of St Govan's Chapel (range coast).
42	pembrokeshire.txt	St Govans Chapel	resolved	51.5987	-4.9368	chapel	Grade I cliff chapel in the cleft at St Govan's Head (historic pilgrimage site).
43	pembrokeshire.txt	Linney Head	resolved	51.6505	-5.074	headland	Headland / cliff section between Freshwater West and Frainslake (MOD coast).
44	pembrokeshire.txt	Huntsman's Leap	resolved	51.5985	-4.9444	landmark	Deep narrow limestone chasm on the Castlemartin range coast (climbing/WCP landmark).
45	pembrokeshire.txt	Flimston Bay	resolved	51.618	-5.022	bay	Small west-facing bay on the Castlemartin training area (access often range-dependent).
46	pembrokeshire.txt	Chapel Bay	resolved	51.6901	-5.0984	bay	Chapel Bay north of Angle; pin at Chapel Bay Fort (Victorian battery above the bay).
47	pembrokeshire.txt	West Bay Castlemartin	resolved	51.656	-5.048	bay	Informal coastal bay name on west Castlemartin coast; representative mid-bay pin west of the village.
48	pembrokeshire.txt	Angle	resolved	51.6847	-5.0919	village	Angle village at the south side of the Milford Haven entrance (coastal community).
49	pembrokeshire.txt	West Angle Bay	resolved	51.6883	-5.1101	beach	Sheltered sandy cove and SSSI west of Angle village (slipway access).
50	pembrokeshire.txt	Thorne Island	resolved	51.6917	-5.1174	island	Rocky islet in the Haven mouth with Palmerston fort (defensive landmark).
51	pembrokeshire.txt	Dale	resolved	51.7069	-5.1711	village	Dale village and haven on the north shore of the Haven entrance (sailing centre).
52	pembrokeshire.txt	Dale Fort	resolved	51.7032	-5.152	fort	FSC residential centre in the Palmerston fort at Dale Head (clifftop above Haven).
53	pembrokeshire.txt	Watwick Bay	resolved	51.7085	-5.176	bay	Small sandy bay on the Dale peninsula west of Dale village (WCP).
54	pembrokeshire.txt	Mill Bay	resolved	51.697	-5.166	bay	Pebble cove west of St Ann's Head; traditional Henry Tudor landing beach.
